experiment_id,seed,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_module_pearson,reference_alignment_edge_diagonal_pearson,alignment_node_pearson,alignment_module_pearson,alignment_edge_diagonal_pearson
B0,0,0.0,4.888056085907128,4.144775591085793,,,,,,
B0,1,0.0,4.913714545332099,4.169955650042057,,,,,,
B0,2,0.0,4.897081941169157,4.1502079903869316,,,,,,
B0,3,0.0,4.896250188626829,4.150622939395049,,,,,,
B0,4,0.0,4.899726402354494,4.152693814502106,,,,,,
B0,5,0.0,4.904905297946394,4.154741331428735,,,,,,
B0,6,0.0,4.895893551749259,4.151465542853993,,,,,,
B0,7,0.0,4.89624459318742,4.1500324213168325,,,,,,
B0,8,0.0,4.9087805537174205,4.155347691928932,,,,,,
B0,9,0.0,4.901466529260128,4.159868459070039,,,,,,
B1,0,0.24331625429459858,4.759059404549852,4.046336568961274,,,,,,
B1,1,0.1726323124702505,4.9838157231604745,4.157482026457644,,,,,,
B1,2,0.2176146165481383,4.946261316923044,4.168813491058808,,,,,,
B1,3,0.25153865691959865,4.817193402438906,4.080172935570013,,,,,,
B1,4,0.24895267900550994,4.771572472174483,4.018022091771422,,,,,,
B1,5,0.20800155114471894,4.9912612992102625,4.117070079743856,,,,,,
B1,6,0.1890955797809482,4.874711815509881,4.063377786720653,,,,,,
B1,7,0.171929891880325,4.820649465220361,4.07316792276851,,,,,,
B1,8,0.23427035375847072,4.799282142389503,4.039018312694993,,,,,,
B1,9,0.23419178704508486,4.778048670651202,4.024831902709262,,,,,,
B2,0,0.3528517765548457,4.621256080728081,3.85254293131511,,,,,,
B2,1,0.2953302011710046,4.725162607949771,3.9751053267308705,,,,,,
B2,2,0.3816654405263735,4.516875077626868,3.7895146506497155,,,,,,
B2,3,0.3991479333999578,4.507508439805216,3.7950437593580113,,,,,,
B2,4,0.34047464197957444,4.6762237607770025,3.910501777419886,,,,,,
B2,5,0.3990691845156637,4.47560227754388,3.712351133236473,,,,,,
B2,6,0.3730346391054319,4.561381641879239,3.8654811564235105,,,,,,
B2,7,0.3410959489765766,4.70436911172321,3.9466027207064913,,,,,,
B2,8,0.34802336595400385,4.679489661473532,3.8984739485519837,,,,,,
B2,9,0.3586907821219853,4.58454417170672,3.8366126420655142,,,,,,
B3,0,0.36487018986741937,4.611105865497538,3.8264711201754045,,,,,,
B3,1,0.33991209066035144,4.6152509948700375,3.869214760050034,,,,,,
B3,2,0.38877804415163275,4.535990134155907,3.7861397944223434,,,,,,
B3,3,0.4166396844157879,4.500229732021114,3.759448652406838,,,,,,
B3,4,0.3443200309115785,4.680350684610024,3.8906261768193966,,,,,,
B3,5,0.3766716145577865,4.562671006499963,3.8077911921683536,,,,,,
B3,6,0.39236860027878667,4.5235805260777,3.823087458177221,,,,,,
B3,7,0.3499995760424373,4.6639572572898205,3.950565479323044,,,,,,
B3,8,0.35663639454251866,4.638168808396573,3.8889983567921846,,,,,,
B3,9,0.37389225399658965,4.5492145340289,3.7975481609778483,,,,,,
E0,0,0.12095456570386884,4.884591197967529,4.0882361888885494,-0.38310200273990624,-0.4611617274582386,-0.3783259704709053,,,
E0,1,0.06709053739905357,5.114856147766114,4.273304653167725,-0.3880933940410614,-0.45584394335746764,-0.3829807579517365,,,
E0,2,0.17181295454502105,4.90659008026123,4.1070233345031735,-0.21420156061649323,-0.1889585077762604,-0.2039485454559326,,,
E0,3,0.19777709841728205,4.922552680969238,4.14051923751831,-0.3791114330291748,-0.431087327003479,-0.3728299617767334,,,
E0,4,0.17526400983333584,4.964402770996093,4.057167291641235,-0.5081050455570221,-0.6178166508674622,-0.5082580804824829,,,
E0,5,0.1648104086518287,4.95640983581543,4.150714921951294,-0.41947346925735474,-0.5128160804510117,-0.412783095240593,,,
E0,6,0.15854789912700648,4.902548980712891,4.1527646541595455,-0.4047747105360031,-0.4533206015825272,-0.3944639712572098,,,
E0,7,0.1072775416076183,4.910858821868897,4.150872993469238,-0.4183182865381241,-0.5303586959838867,-0.41107616424560545,,,
E0,8,0.18990040123462673,4.812846851348877,4.058748483657837,-0.35938392877578734,-0.3860529616475105,-0.3514634996652603,,,
E0,9,0.15869614034891127,5.058788013458252,4.216360759735108,-0.42250158041715624,-0.4961158871650696,-0.4197274222970009,,,
E1,0,0.18125381767749782,4.961376476287842,4.11005129814148,0.7794252276420593,0.9450531959533691,0.7867692708969116,0.7794252276420593,,
E1,1,0.03032831067685038,5.077801990509033,4.25713701248169,0.774870240688324,0.948850679397583,0.7828976273536682,0.774870240688324,,
E1,2,0.17593714743852612,4.884447765350342,4.0642870426177975,0.7612301468849182,0.9244986057281495,0.7676376581192017,0.7612301468849182,,
E1,3,0.1835669726133346,4.88549280166626,4.142873764038086,0.7672461152076722,0.9240502834320068,0.7744153738021851,0.7672461152076722,,
E1,4,0.16947613954544063,5.127351951599121,4.165547800064087,0.7834454655647278,0.9271742582321167,0.7926677942276001,0.7834454655647278,,
E1,5,0.1633740976452827,4.940520763397217,4.115820980072021,0.7616301059722901,0.9219912171363831,0.7680780172348023,0.7616301059722901,,
E1,6,0.14741270889062436,4.961265659332275,4.167469215393067,0.763728141784668,0.9236272215843201,0.7738931059837342,0.763728141784668,,
E1,7,0.10964350365102286,4.919111919403076,4.1072591781616214,0.7652886033058166,0.9030108213424682,0.7748467087745666,0.7652886033058166,,
E1,8,0.19171014353632923,4.910450172424317,4.111695194244385,0.7724604606628418,0.9201947689056397,0.7820045351982117,0.7724604606628418,,
E1,9,0.13696198035031554,5.09537353515625,4.2877603530883786,0.7880594730377197,0.9427568435668945,0.796973705291748,0.7880594730377197,,
E10,0,0.1247856944799423,4.886611080169677,4.087319564819336,0.06617835462093351,0.11858478337526317,0.07130169048905372,0.8357668519020081,,
E10,1,0.1168062180280685,5.030921554565429,4.223741149902343,0.1493055313825607,0.19872819185256957,0.15427729487419123,0.8595091104507446,,
E10,2,0.13148176409304138,4.9936188697814945,4.122005891799927,0.12556972801685332,0.1855810448527336,0.13282695561647415,0.8255136489868165,,
E10,3,0.1954367950558662,4.941317844390869,4.149679565429688,0.11516676694154734,0.1626868307590484,0.12318513691425322,0.8707357883453369,,
E10,4,0.1703421756625175,5.015488243103027,4.109083080291748,0.1304026201367378,0.18291191458702083,0.14048649221658704,0.891230046749115,,
E10,5,0.17830767631530758,4.984389877319336,4.161876487731933,0.14159878492355343,0.17045639157295223,0.1496631786227226,0.8764317035675049,,
E10,6,0.15265124440193173,4.944390487670899,4.19066162109375,0.1632825307548046,0.2070780351758003,0.1728012055158615,0.8774489641189576,,
E10,7,0.1606326192617416,4.898299980163574,4.118896770477295,0.14329357147216795,0.16047268658876415,0.14911264628171914,0.871804416179657,,
E10,8,0.18621940314769742,4.847706699371338,4.064937734603882,0.1714129269123077,0.20946679711341853,0.17489336729049682,0.8327682852745056,,
E10,9,0.16402925550937647,5.016224956512451,4.191993522644043,0.15528836846351618,0.19322804808616637,0.16546512544155118,0.8868539452552795,,
E2,0,0.09399653375148771,4.940676307678222,4.132946538925171,-0.2567273259162902,-0.43808113783597946,-0.24694740474224086,0.3899467885494232,,
E2,1,0.01814006008207795,5.118579769134522,4.28865156173706,-0.3161700144410133,-0.45297581553459165,-0.30978545695543286,0.35962892472743985,,
E2,2,0.19633030816912647,4.9016491889953615,4.093123817443848,-0.1673436529934406,-0.3316067352890968,-0.1540442561730742,0.4450971782207489,,
E2,3,0.1720597609877586,4.977560901641846,4.165024995803833,-0.2666644856333732,-0.4267600953578949,-0.2608772665262222,0.3762052059173584,,
E2,4,0.1371517516672611,5.022358798980713,4.052790641784668,-0.23275315538048744,-0.3918485909700394,-0.2232796758413315,0.4255958527326584,,
E2,5,0.14374763071537017,5.00611982345581,4.17083477973938,-0.2213498145341873,-0.39631921350955956,-0.2181532151997089,0.4067810982465744,,
E2,6,0.13343450576066967,4.97285041809082,4.182210540771484,-0.31045310497283934,-0.43072893619537356,-0.30469489097595215,0.3654788643121719,,
E2,7,0.13518677949905394,4.931269550323487,4.130811023712158,-0.11521695926785465,-0.27752469182014466,-0.10529563948512073,0.45224474668502807,,
E2,8,0.15766988135874266,4.987354373931884,4.144790697097778,-0.24559669941663737,-0.3948952138423919,-0.2371592283248901,0.3946631163358688,,
E2,9,0.17459077266976233,4.994261932373047,4.166156196594239,-0.2400856927037239,-0.42503578066825864,-0.22945637479424472,0.415606427192688,,
E3,0,0.13185961842536922,4.903752422332763,4.093020057678222,0.012404794665053478,-0.14158937335014343,0.01168209332972764,0.4583951771259308,,
E3,1,0.11570056751370425,5.167036247253418,4.309218645095825,0.008911022916436181,-0.20437113940715784,0.00347986891865728,0.4601841151714325,,
E3,2,0.13401929065585133,4.935604572296143,4.106543111801147,0.047582542430609436,0.02053783535957338,0.04865200957283376,0.4987248837947845,,
E3,3,0.20975886583328243,4.834253215789795,4.034616136550904,0.09095825180411339,0.08213113993406296,0.0882204659283161,0.4288515508174896,,
E3,4,0.14869757592678065,5.05813684463501,4.2332666397094725,-0.006863215565681461,-0.14146484434604642,-0.009096214175224318,0.4658089876174927,,
E3,5,0.1487558521330356,4.9671311378479,4.1467564582824705,-0.031046950444579103,-0.13094449639320374,-0.028783910721540462,0.47952215671539306,,
E3,6,0.14833782166242596,4.988801574707031,4.184917211532593,-0.051293573016300775,-0.22588156461715697,-0.05389587329700588,0.4663024306297302,,
E3,7,0.13370830416679377,4.886941146850586,4.132845783233643,0.1112398527562618,0.13742164224386216,0.1116605937480926,0.457787013053894,,
E3,8,0.15592892169952388,4.937092304229736,4.10746431350708,-0.034041149914264705,-0.10688120424747467,-0.0336740728467703,0.4013509005308151,,
E3,9,0.13864347711205477,4.9306333541870115,4.102744245529175,0.04906551539897917,-0.05208240151405338,0.046251144260168076,0.48421992659568786,,
E4,0,0.18327443599700927,4.9225667953491214,4.119252157211304,0.6410681366920471,0.9823127865791321,0.648226797580719,,0.9823127865791321,
E4,1,0.030234213173389434,5.0970853805542,4.244854259490967,0.6794631123542786,0.9707235932350159,0.6889261126518249,,0.9707235932350159,
E4,2,0.09206068366765974,4.960043430328369,4.117819929122925,0.5997305393218995,0.949932312965393,0.6148315072059631,,0.949932312965393,
E4,3,0.176791700720787,4.926627349853516,4.114399147033692,0.6999500751495361,0.9876356601715088,0.7091883301734925,,0.9876356601715088,
E4,4,0.14966036975383754,5.016760158538818,4.149547863006592,0.6629433393478393,0.9750616431236268,0.6738071918487549,,0.9750616431236268,
E4,5,0.13961006850004193,4.935433292388916,4.096920537948608,0.6549899578094482,0.9554370760917663,0.666914427280426,,0.9554370760917663,
